match_id,venue,batting_team,bowling_team,total_runs,avg_runs,max_runs,wickets,deliveries
202255,"Dr DY Patil Sports Academy, Mumbai",DC,CSK,113,1.0462962962962963,6,10,10
202256,"Dr DY Patil Sports Academy, Mumbai",KKR,MI,154,1.2222222222222223,6,9,9
202256,"Dr DY Patil Sports Academy, Mumbai",MI,KKR,103,0.9626168224299065,6,10,10
202257,"Maharashtra Cricket Association Stadium, Pune",GT,LSG,137,1.0873015873015872,6,4,4
202257,"Maharashtra Cricket Association Stadium, Pune",LSG,GT,79,0.9186046511627907,6,10,10
202258,"Dr DY Patil Sports Academy, Mumbai",DC,RR,154,1.3508771929824561,6,2,2
202258,"Dr DY Patil Sports Academy, Mumbai",RR,DC,154,1.232,6,6,6
202259,"Wankhede Stadium, Mumbai",CSK,MI,82,0.7884615384615384,6,10,10
202259,"Wankhede Stadium, Mumbai",MI,CSK,93,0.9893617021276596,6,5,5
202260,"Brabourne Stadium, Mumbai",PBKS,RCB,202,1.6290322580645162,6,9,9
202260,"Brabourne Stadium, Mumbai",RCB,PBKS,145,1.1328125,6,9,9
202261,"Maharashtra Cricket Association Stadium, Pune",KKR,SRH,165,1.2890625,6,6,6
202261,"Maharashtra Cricket Association Stadium, Pune",SRH,KKR,120,0.975609756097561,6,8,8
202262,"Wankhede Stadium, Mumbai",CSK,GT,126,1.008,6,5,5
202262,"Wankhede Stadium, Mumbai",GT,CSK,127,1.0672268907563025,6,3,3
202263,"Brabourne Stadium, Mumbai",LSG,RR,139,1.0859375,6,8,8
202263,"Brabourne Stadium, Mumbai",RR,LSG,174,1.4146341463414633,6,6,6
202264,"Dr DY Patil Sports Academy, Mumbai",DC,PBKS,150,1.2195121951219512,6,7,7
202264,"Dr DY Patil Sports Academy, Mumbai",PBKS,DC,136,1.0793650793650793,6,9,9
202265,"Wankhede Stadium, Mumbai",MI,SRH,176,1.353846153846154,6,7,7
202265,"Wankhede Stadium, Mumbai",SRH,MI,184,1.472,6,6,6
202266,"Dr DY Patil Sports Academy, Mumbai",KKR,LSG,198,1.5590551181102361,6,8,8
202266,"Dr DY Patil Sports Academy, Mumbai",LSG,KKR,208,1.7049180327868851,6,0,0
202267,"Wankhede Stadium, Mumbai",GT,RCB,165,1.3524590163934427,6,5,5
202267,"Wankhede Stadium, Mumbai",RCB,GT,159,1.382608695652174,6,2,2
202268,"Brabourne Stadium, Mumbai",CSK,RR,145,1.16,6,6,6
202268,"Brabourne Stadium, Mumbai",RR,CSK,135,1.1065573770491803,6,5,5
202269,"Wankhede Stadium, Mumbai",DC,MI,145,1.1328125,6,7,7
202269,"Wankhede Stadium, Mumbai",MI,DC,155,1.3025210084033614,6,5,5
202270,"Wankhede Stadium, Mumbai",PBKS,SRH,154,1.6210526315789473,6,5,5
202270,"Wankhede Stadium, Mumbai",SRH,PBKS,145,1.16,6,7,8
202271,"Eden Gardens, Kolkata",GT,RR,178,1.424,6,3,3
202271,"Eden Gardens, Kolkata",RR,GT,177,1.3937007874015748,6,6,6
202272,"Eden Gardens, Kolkata",LSG,RCB,171,1.3153846153846154,6,6,6
202272,"Eden Gardens, Kolkata",RCB,LSG,197,1.5634920634920635,6,4,4
202273,"Narendra Modi Stadium, Ahmedabad",RCB,RR,142,1.1181102362204725,6,8,8
202273,"Narendra Modi Stadium, Ahmedabad",RR,RCB,161,1.4770642201834863,6,3,3
202274,"Narendra Modi Stadium, Ahmedabad",GT,RR,124,1.0973451327433628,6,3,3
202274,"Narendra Modi Stadium, Ahmedabad",RR,GT,128,1.0666666666666667,6,9,9
202301,"Narendra Modi Stadium, Ahmedabad",CSK,GT,170,1.4049586776859504,6,7,7
202301,"Narendra Modi Stadium, Ahmedabad",GT,CSK,170,1.3934426229508197,6,5,5
202302,"Punjab Cricket Association IS Bindra Stadium, Mohali",KKR,PBKS,140,1.4141414141414141,6,7,7
202302,"Punjab Cricket Association IS Bindra Stadium, Mohali",PBKS,KKR,187,1.5203252032520325,6,5,5
202303,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",DC,LSG,133,1.0555555555555556,6,9,9
202303,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,DC,185,1.48,6,6,6
202304,"Rajiv Gandhi International Stadium, Hyderabad",RR,SRH,195,1.598360655737705,6,5,5
202304,"Rajiv Gandhi International Stadium, Hyderabad",SRH,RR,124,0.9841269841269841,6,8,8
202305,"M.Chinnaswamy Stadium, Bengaluru",MI,RCB,160,1.2307692307692308,6,7,7
202305,"M.Chinnaswamy Stadium, Bengaluru",RCB,MI,167,1.6372549019607843,6,2,2
202306,"MA Chidambaram Stadium, Chennai",CSK,LSG,201,1.6209677419354838,6,7,7
202306,"MA Chidambaram Stadium, Chennai",LSG,CSK,187,1.375,6,7,7
202307,"Arun Jaitley Stadium, Delhi",DC,GT,147,1.176,6,8,8
202307,"Arun Jaitley Stadium, Delhi",GT,DC,155,1.3478260869565217,6,4,4
202308,"Barsapara Cricket Stadium, Guwahati",PBKS,RR,187,1.4724409448818898,6,4,4
202308,"Barsapara Cricket Stadium, Guwahati",RR,PBKS,182,1.456,6,7,7
202309,"Eden Gardens, Kolkata",KKR,RCB,181,1.4031007751937985,6,7,7
202309,"Eden Gardens, Kolkata",RCB,KKR,117,1.0934579439252337,6,10,10
202310,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,SRH,110,1.0891089108910892,6,5,5
202310,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",SRH,LSG,118,0.9672131147540983,6,8,8
202311,"Barsapara Cricket Stadium, Guwahati",DC,RR,132,1.03125,4,9,9
202311,"Barsapara Cricket Stadium, Guwahati",RR,DC,193,1.5564516129032258,6,4,4
202312,"Wankhede Stadium, Mumbai",CSK,MI,149,1.3070175438596492,6,3,3
202312,"Wankhede Stadium, Mumbai",MI,CSK,149,1.192,6,8,8
202313,"Narendra Modi Stadium, Ahmedabad",GT,KKR,188,1.4803149606299213,6,4,4
202313,"Narendra Modi Stadium, Ahmedabad",KKR,GT,203,1.6504065040650406,6,7,7
202314,"Rajiv Gandhi International Stadium, Hyderabad",PBKS,SRH,137,1.096,6,9,9
202314,"Rajiv Gandhi International Stadium, Hyderabad",SRH,PBKS,145,1.4077669902912622,6,2,2
202315,"M.Chinnaswamy Stadium, Bengaluru",LSG,RCB,197,1.5271317829457365,6,9,9
202315,"M.Chinnaswamy Stadium, Bengaluru",RCB,LSG,200,1.6129032258064515,6,2,2
202316,"Arun Jaitley Stadium, Delhi",DC,MI,161,1.2983870967741935,6,10,10
202316,"Arun Jaitley Stadium, Delhi",MI,DC,167,1.3688524590163935,6,4,4
202317,"MA Chidambaram Stadium, Chennai",CSK,RR,162,1.2755905511811023,6,6,6
202317,"MA Chidambaram Stadium, Chennai",RR,CSK,165,1.3095238095238095,6,8,8
202318,"Punjab Cricket Association IS Bindra Stadium, Mohali",GT,PBKS,146,1.226890756302521,6,4,4
202318,"Punjab Cricket Association IS Bindra Stadium, Mohali",PBKS,GT,142,1.1007751937984496,6,8,8
202319,"Eden Gardens, Kolkata",KKR,SRH,195,1.5234375,6,7,7
202319,"Eden Gardens, Kolkata",SRH,KKR,216,1.6875,6,4,4
202320,"M.Chinnaswamy Stadium, Bengaluru",DC,RCB,148,1.2032520325203253,6,9,9
202320,"M.Chinnaswamy Stadium, Bengaluru",RCB,DC,163,1.314516129032258,6,6,6
202321,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,PBKS,147,1.1574803149606299,6,8,8
202321,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",PBKS,LSG,154,1.2622950819672132,6,8,8
202322,"Wankhede Stadium, Mumbai",KKR,MI,171,1.3359375,6,6,6
202322,"Wankhede Stadium, Mumbai",MI,KKR,182,1.6697247706422018,6,5,5
202323,"Narendra Modi Stadium, Ahmedabad",GT,RR,172,1.3870967741935485,6,7,7
202323,"Narendra Modi Stadium, Ahmedabad",RR,GT,176,1.4915254237288136,6,7,7
202324,"M.Chinnaswamy Stadium, Bengaluru",CSK,RCB,219,1.7380952380952381,6,6,6
202324,"M.Chinnaswamy Stadium, Bengaluru",RCB,CSK,207,1.6428571428571428,6,8,8
202325,"Rajiv Gandhi International Stadium, Hyderabad",MI,SRH,190,1.5573770491803278,6,5,5
202325,"Rajiv Gandhi International Stadium, Hyderabad",SRH,MI,159,1.2519685039370079,6,10,10
202326,"Sawai Mansingh Stadium, Jaipur",LSG,RR,148,1.2131147540983607,6,7,7
202326,"Sawai Mansingh Stadium, Jaipur",RR,LSG,132,1.0731707317073171,6,6,6
202327,"Punjab Cricket Association IS Bindra Stadium, Mohali",PBKS,RCB,145,1.2831858407079646,6,10,10
202327,"Punjab Cricket Association IS Bindra Stadium, Mohali",RCB,PBKS,162,1.3170731707317074,6,4,4
202328,"Arun Jaitley Stadium, Delhi",DC,KKR,121,1.0,4,6,6
